date,sessions_total,sessions_google_ads,sessions_meta_ads,sessions_tiktok_ads,sessions_email,sessions_organic,sessions_affiliates,conversion_rate,orders,aov_gbp,gross_sales_gbp,discounts_gbp,refunds_gbp,transaction_fees_gbp,marketing_spend_google_gbp,marketing_spend_meta_gbp,marketing_spend_tiktok_gbp,marketing_spend_other_gbp,marketing_spend_total_gbp,net_sales_gbp,contrib_after_fees_gbp,mer,roas_google,roas_meta,roas_tiktok,new_customers,returning_customers,subs_active,mrr_gbp,google_impressions,google_clicks,google_ctr,google_cpc_gbp,google_cpm_gbp,meta_impressions,meta_clicks,meta_ctr,meta_cpc_gbp,meta_cpm_gbp,tiktok_impressions,tiktok_clicks,tiktok_ctr,tiktok_cpc_gbp,tiktok_cpm_gbp,email_sends,email_open_rate,email_click_rate,region_uk_pct,region_us_pct,region_eu_pct,revenue_google,revenue_meta,revenue_tiktok,revenue_other,orders_google,orders_meta,orders_tiktok,orders_other,conversion_rate_google,conversion_rate_meta,conversion_rate_tiktok,conversion_rate_other,cpa_google,cpa_meta,cpa_tiktok,cpa_other
01/11/2021,15936,5100,4621,449,1938,2837,991,2.64,421,47.49,19993.29,1328.09,330.2,916.75,2949.92,2252.13,1009.88,11.38,6223.31,18335,17418.25,3.21,6.78,8.88,19.8,238,183,804,9648,90783,3614,3.98,0.82,32.49,131089,2331,1.78,0.97,17.18,8772,254,2.9,3.98,115.13,1982,28.81,2.96,44.53,36.34,19.13,20000.03,19994.12,19997.31,145.78,169.14,169.09,169.11,22.77,3.32,3.66,37.65,2.30,17.44,13.32,5.99,0.50
01/12/2021,18709,5992,5592,571,2167,3316,1071,2.36,442,47.98,21207.16,1445.27,474.97,964.35,2778.92,2346.98,856.96,768.73,6751.59,19286.92,18322.57,3.14,7.63,9.04,24.75,273,169,790,9480,104805,2974,2.84,0.93,26.52,111815,2689,2.4,0.87,20.99,29382,329,1.12,2.6,29.17,2577,32.9,3.06,48.6,32.82,18.58,21203.20,21217.95,21214.70,117.83,164.15,164.20,164.19,14.74,2.74,2.94,28.76,1.25,16.93,14.30,10.28,52.15
01/01/2022,19222,6221,5912,535,2276,3419,859,2.09,402,46.41,18656.82,793.48,272.83,879.53,2801.31,2123.91,978.67,421.3,6325.19,17590.51,16710.98,2.95,6.66,8.78,19.06,219,183,780,9360,107896,4216,3.91,0.66,25.96,129626,3240,2.5,0.66,16.38,16434,346,2.11,2.83,59.55,2498,33.78,4.44,38.79,33.09,28.12,18656.99,18656.61,18656.88,96.62,123.76,123.74,123.74,17.13,1.99,2.09,23.13,1.73,22.63,17.17,10.64,24.58
01/02/2022,26252,8436,7206,752,3468,4288,2102,2.98,783,46.6,36487.8,4056.05,816.82,1580.75,5054.07,3976.85,1382.35,1795.47,12208.74,31614.93,30034.18,2.99,7.22,9.18,26.4,487,296,803,9636,200349,5945,2.97,0.85,25.23,252882,4970,1.97,0.8,15.73,15806,354,2.24,3.9,87.46,3780,22.83,3.6,41.4,37.27,21.33,36493.09,36502.84,36505.20,205.66,333.79,333.83,333.84,36.18,3.96,4.63,44.40,1.11,15.14,11.91,10.39,49.61
01/03/2022,24298,8212,6930,790,3244,4208,914,2.95,717,48.72,34932.24,3749.14,586.77,1529.82,4519.53,3280.32,1320.55,799.13,9919.53,30596.33,29066.51,3.52,7.73,10.65,26.45,413,304,800,9600,166852,5471,3.28,0.83,27.09,165122,3764,2.28,0.87,19.87,16060,367,2.29,3.6,82.23,2974,22.07,5.96,53.62,33.62,12.76,34932.42,34941.11,34933.67,152.03,301.95,301.99,301.91,20.37,3.68,4.36,38.24,1.35,14.97,10.87,10.82,39.23
01/04/2022,15729,5253,4944,539,1784,2689,520,2.3,362,49.1,17774.2,1221.06,254.38,814.94,2517.23,1942.86,813.93,181.9,5455.92,16298.76,15483.82,3.26,7.06,9.15,21.84,201,161,787,9444,88967,2621,2.95,0.96,28.29,91925,2299,2.5,0.85,21.14,7883,270,3.43,3.01,103.25,1810,27.41,5.72,42.44,32.7,24.87,17775.62,17779.73,17776.85,51.02,138.10,138.12,138.10,8.95,2.63,2.79,25.61,0.68,14.06,14.48,9.11,20.33
01/05/2022,20690,6796,6213,711,2448,3510,1012,2.7,559,50.94,28475.46,1732.5,464.94,1313.9,4076.57,2434.99,1356.27,1423.2,9291.03,26278.02,24964.12,3.06,6.99,11.69,21,316,243,763,9156,110694,4369,3.95,0.93,36.83,230968,4185,1.81,0.58,10.54,30598,434,1.42,3.13,44.33,2771,30.24,2.83,42.27,35.55,22.18,28490.02,28468.48,28489.51,314.49,221.39,221.31,221.39,30.86,3.26,3.56,31.13,2.19,18.41,11.00,19.35,46.13
01/06/2022,23009,7115,6506,925,2689,4176,1598,2.34,539,49.84,26863.76,1820.56,397.93,1232.26,4061.07,3470.03,1261.78,286.6,9079.48,24645.27,23413.01,2.96,6.61,7.74,21.29,356,183,762,9144,140560,4969,3.54,0.82,28.89,199743,4153,2.08,0.84,17.37,20691,535,2.59,2.36,60.98,2569,32.54,3.87,41.16,29.2,29.64,26857.06,26862.90,26858.86,94.15,205.05,205.07,205.05,8.92,2.88,3.15,22.17,0.98,19.81,16.91,13.66,32.13
01/07/2022,20648,6397,5644,760,2429,3658,1760,2.6,537,52.65,28273.05,1966.61,639.05,1283.37,3106.41,2040.84,881.97,1835.05,7864.27,25667.39,24384.02,3.6,9.1,13.85,32.06,340,197,761,9132,107724,3213,2.98,0.97,28.84,246677,3801,1.54,0.54,8.27,19449,562,2.89,1.57,45.35,2567,31.21,1.51,54.16,32.18,13.66,28266.32,28270.26,28267.06,404.46,248.56,248.58,248.56,40.64,3.88,4.41,32.70,2.24,12.50,8.21,27.14,45.17
01/08/2022,20333,5931,5627,795,2702,3952,1326,2.65,539,47.88,25807.32,2419.53,365.1,1151.13,3233.88,2434.56,1184.71,445.76,7298.91,23022.69,21871.56,3.54,7.98,10.6,21.78,312,227,759,9108,117888,4404,3.74,0.73,27.43,199324,3805,1.91,0.64,12.21,24336,482,1.98,2.46,48.68,2773,31.06,2.88,49.95,21.42,28.64,25802.32,25815.10,25812.97,98.60,208.18,208.23,208.22,11.95,3.51,3.70,26.20,0.88,15.54,11.69,14.71,37.31
01/09/2022,21023,7037,5286,913,2643,4065,1079,2.63,553,48.7,26931.1,2591.44,379.4,1198.01,2920.46,2512.7,1154.91,1054.04,7642.11,23960.26,22762.25,3.52,9.22,10.72,23.32,341,212,765,9180,112870,3823,3.39,0.76,25.87,236034,3871,1.64,0.65,10.65,39508,654,1.66,1.77,29.23,2931,23.25,2.62,50.46,29.86,19.68,26930.82,26925.21,26929.94,232.32,222.76,222.73,222.75,23.56,3.17,3.00,29.06,2.18,13.11,11.28,14.95,44.72
01/10/2022,19976,5896,5808,894,2608,3257,1513,2.6,520,51.37,26712.4,1822.43,541.72,1217.41,3747.06,2766.51,1206.43,-143.42,7576.58,24348.25,23130.84,3.53,7.13,9.66,22.14,332,188,764,9168,88890,2951,3.32,1.27,42.15,227077,3185,1.4,0.87,12.18,38693,452,1.17,2.67,31.18,2555,29.84,2.74,54.3,39.68,6.01,26714.93,26721.59,26720.44,-68.65,200.80,200.82,200.82,-5.21,3.40,3.46,22.44,-0.36,18.67,13.70,20.12,-27.58
01/11/2022,21405,7282,5966,778,2888,3876,615,2.33,498,50.74,25268.52,1472.67,411.9,1169.2,3936.3,2974.16,1358.92,276.66,8546.04,23383.95,22214.75,2.96,6.42,8.5,18.59,276,222,756,9072,147548,4666,3.16,0.84,26.68,167645,4185,2.5,0.71,17.74,12369,354,2.86,3.84,109.86,3409,24.69,1.35,50.82,30.16,19.01,25260.99,25274.37,25265.70,38.64,203.49,203.56,203.51,8.83,2.79,3.41,26.15,0.88,19.34,14.62,16.55,31.33
01/12/2022,25579,9137,6992,1042,2974,4373,1061,2.36,604,49.8,30079.2,1942.82,525.59,1380.54,3244.68,2965.37,1170.34,1379.12,8759.51,27610.79,26230.25,3.43,9.27,10.14,25.7,345,259,750,9000,132427,4178,3.15,0.78,24.5,185994,4093,2.2,0.72,15.94,40297,734,1.82,1.59,29.04,3101,30.05,3.78,52.73,31.96,15.3,30073.12,30069.67,30078.15,192.64,242.95,242.94,242.96,21.20,2.66,3.47,23.31,1.40,13.36,12.21,15.48,65.05
01/01/2023,23742,7377,5890,1098,2811,4392,2174,2.41,572,52.68,30132.96,2086.25,663.29,1369.17,3045.16,3141.73,1343.35,1633.25,9163.49,27383.42,26014.25,3.29,9.9,9.59,22.43,347,225,743,8916,126890,4648,3.66,0.66,24,158513,3512,2.22,0.89,19.82,30934,642,2.08,2.09,43.43,2591,32.49,3.65,47.82,29.85,22.33,30146.28,30130.47,30136.31,285.33,220.84,220.79,220.81,25.62,2.99,3.75,20.11,2.33,13.79,14.23,21.01,63.77
01/02/2023,31748,10096,8113,1253,3820,5759,2707,2.61,829,53.34,44218.86,5255.81,766.77,1909.81,5855.14,4684.7,2325.35,-277.75,12587.44,38196.28,36286.47,3.51,7.55,9.44,19.02,488,341,749,8988,207319,5842,2.82,1,28.24,141961,3747,2.64,1.25,33,34191,600,1.75,3.88,68.01,4925,24.56,2.69,50.36,26.83,22.81,44220.78,44240.77,44224.89,-38.78,359.48,359.52,359.49,-4.19,3.56,4.43,28.68,-0.15,16.29,13.02,9.37,-66.32
01/03/2023,33380,10766,9118,1392,4293,6287,1524,3.08,1029,53.86,55421.94,6022.65,1137.33,2413.1,6524.27,6971.78,2090.15,1029.25,16615.45,48261.96,45848.86,3.34,8.49,7.95,26.52,580,449,780,9360,291651,7917,2.71,0.82,22.37,261406,6525,2.5,1.07,26.67,47037,865,1.84,2.42,44.44,5175,26.73,3.42,49.14,34.42,16.44,55389.14,55425.71,55402.98,167.70,474.48,474.59,474.52,27.07,4.41,5.21,34.08,1.77,13.75,14.69,12.26,38.02
01/04/2023,19976,6897,5334,826,2381,3651,887,2.15,430,51.36,22084.8,1324.25,375.77,1019.24,2827.37,2269.69,944.76,391.16,6432.98,20384.78,19365.54,3.43,7.81,9.73,23.38,268,162,774,9288,106219,3708,3.49,0.76,26.62,184296,3418,1.85,0.66,12.32,15121,512,3.39,1.85,62.48,2853,40.36,4.43,49.5,31.87,18.63,22083.05,22081.53,22087.66,68.32,165.68,165.67,165.70,10.87,2.40,3.10,18.37,1.23,17.06,13.70,11.43,35.99
01/05/2023,24499,7797,6202,1028,3072,4577,1823,2.4,587,52.14,30606.18,1275.14,482.26,1442.44,3398.65,2430.18,1174.48,1997.93,9001.24,28848.78,27406.34,3.4,9.01,12.59,26.06,345,242,755,9060,155248,4643,2.99,0.73,21.89,212483,3514,1.65,0.69,11.44,20509,545,2.66,2.16,57.27,3790,24.14,5.12,40.07,37.45,22.48,30612.37,30587.46,30605.31,440.39,232.22,232.13,232.19,44.02,2.98,3.74,22.58,1.43,14.63,10.47,13.43,45.37
01/06/2023,25664,8510,6846,1117,3331,4550,1310,2.32,595,52.68,31344.6,1544.74,469.3,1466.53,4175.62,3212.22,1672.42,800.84,9861.1,29330.56,27864.03,3.18,7.51,9.76,18.74,353,242,756,9072,136563,3884,2.84,1.08,30.58,157598,3226,2.05,1,20.38,24971,798,3.2,2.1,66.97,3192,25.4,2.16,44.88,27.54,27.59,31362.14,31353.95,31336.61,140.36,246.62,246.60,246.57,12.92,2.90,3.60,22.12,0.93,16.93,13.03,21.19,62.00
01/07/2023,25355,8268,6880,1237,3290,3991,1689,2.81,712,52.57,37429.84,1920.25,860.14,1732.47,4533.68,4022.48,1622.64,1175.46,11354.26,34649.45,32916.98,3.3,8.26,9.31,23.07,457,255,785,9420,170789,4799,2.81,0.94,26.55,139251,3623,2.6,1.11,28.89,41369,864,2.09,1.88,39.22,3148,22.44,5.1,44.12,32.18,23.7,37443.30,37462.30,37443.00,206.00,306.64,306.68,306.64,20.58,3.71,4.46,24.79,0.97,14.79,13.12,19.99,57.11
01/08/2023,25444,8441,6223,1360,3148,4308,1964,2.62,666,54.26,36137.16,3402.21,534.99,1610,5955.98,6114.21,1652.42,-216.48,13506.13,32199.96,30589.96,2.68,6.07,5.91,21.87,387,279,781,9372,206072,5413,2.63,1.1,28.9,126662,3462,2.73,1.77,48.27,26646,797,2.99,2.07,62.01,2890,20.69,1.76,42.68,30.28,27.03,36166.42,36150.64,36160.42,-37.95,281.91,281.86,281.90,-3.67,3.34,4.53,20.73,-0.14,21.13,21.70,12.02,-57.18
01/09/2023,24460,8777,5988,1353,2773,4214,1355,2.39,584,52.04,30391.36,2149.24,448.03,1389.7,4170.97,3197.08,1320.8,1493.74,10182.59,27794.09,26404.39,2.98,7.29,9.51,23.01,377,207,796,9552,141624,4410,3.11,0.95,29.45,140112,3840,2.74,0.83,22.82,22435,704,3.14,1.88,58.87,2779,32.97,2.66,45.74,29.04,25.22,30401.56,30397.55,30393.29,261.69,244.14,244.12,244.11,26.19,2.78,4.08,19.09,1.75,17.08,13.09,10.80,57.01
01/10/2023,24655,7936,5863,1255,2636,4329,2636,2.54,626,53.57,33534.82,1665.07,533.11,1566.83,4636.05,3224.24,1143.43,845.83,9849.55,31336.64,29769.81,3.4,7.23,10.4,29.33,358,268,798,9576,125210,4383,3.5,1.06,37.03,219036,4057,1.85,0.79,14.72,47901,675,1.41,1.69,23.87,3153,24.53,3.1,55.08,37.41,7.51,33522.02,33542.28,33546.08,148.14,257.45,257.49,257.50,14.81,3.24,4.39,20.51,1.57,17.99,12.52,11.13,57.11
01/11/2023,25700,8751,5953,1147,3326,4391,2132,2.44,626,49.62,31062.12,1528.25,612.44,1446.07,4559.6,4141.1,1168.39,1665.57,11534.66,28921.43,27475.36,2.69,6.81,7.5,26.59,348,278,793,9516,157837,5875,3.72,0.78,28.89,158283,3342,2.11,1.24,26.16,24386,826,3.39,1.41,47.91,3187,24.82,5.06,50.71,28.33,20.96,31052.14,31056.04,31064.49,292.19,232.72,232.73,232.76,29.20,2.66,3.91,20.28,1.37,19.59,17.80,12.78,56.92
01/12/2023,29501,10178,7633,1547,3653,5743,747,2.66,786,54.52,42852.72,2565.87,909.36,1968.87,6781.27,5133.27,1373.81,1336.71,14625.06,39377.49,37408.62,2.93,6.32,8.35,31.19,443,343,799,9588,196783,5860,2.98,1.16,34.46,295621,4119,1.39,1.25,17.36,69417,883,1.27,1.56,19.79,4682,23.91,4.11,46.43,28.38,25.19,42862.18,42858.41,42844.70,234.50,358.75,358.73,358.68,23.33,3.53,4.70,23.19,1.74,18.90,14.31,15.36,57.25
01/01/2024,28933,10304,7304,1512,3244,5164,1405,2.64,765,56.11,42924.15,2844.14,819.04,1963.05,5589.28,3924.67,1697.68,2092.85,13304.48,39260.97,37297.92,3.23,7.68,10.94,25.28,447,318,795,9540,208825,5401,2.59,1.03,26.77,177788,3396,1.91,1.16,22.07,38712,946,2.44,1.79,43.85,3537,13.76,4.09,47.64,44.66,7.7,42924.85,42946.39,42927.10,367.04,315.73,315.80,315.74,36.69,3.06,4.32,20.88,1.15,17.70,12.43,18.24,57.05
01/02/2024,41931,13456,10396,2338,4853,8036,2852,2.85,1193,53.6,63944.8,7623.43,1229.44,2754.6,9184.84,7803.03,2531.53,1445.13,20964.53,55091.93,52337.33,3.05,6.96,8.19,25.26,688,505,837,10044,234965,6651,2.83,1.38,39.09,302102,7379,2.44,1.06,25.83,58552,1163,1.99,2.18,43.24,5991,31.73,5.07,53.03,31.64,15.32,63900.91,63907.88,63928.71,253.93,532.85,532.88,532.95,25.71,3.96,5.13,22.68,0.95,17.24,14.65,9.76,56.23
01/03/2024,36803,13352,8247,2017,4277,6512,2398,2.98,1097,55.49,60872.53,8142.22,1079.35,2582.55,8362.07,6725.5,3245.5,4445.66,22778.73,51650.96,49068.41,2.67,7.28,9.05,18.76,621,476,850,10200,226185,6079,2.69,1.38,36.97,290146,4247,1.46,1.58,23.18,45362,1267,2.79,2.56,71.55,4840,25.15,3.72,39.82,30.97,29.2,60852.40,60865.38,60870.92,780.49,434.48,434.52,434.54,78.24,3.25,5.27,21.54,1.76,19.25,15.48,10.22,56.82
01/04/2024,27223,9588,6100,1337,2883,5305,2010,2.27,617,51.29,31645.93,1666.63,695.16,1464.21,4130.54,3779.36,1437.83,2072.45,11420.18,29284.14,27819.93,2.77,7.66,8.37,22.01,313,304,859,10308,210524,6538,3.11,0.63,19.62,299728,4230,1.41,0.89,12.61,56364,994,1.76,1.45,25.51,3222,27.68,3.04,47.89,34.32,17.78,31641.73,31623.14,31645.76,363.90,261.60,261.52,261.60,36.74,2.73,4.29,13.03,1.38,15.79,14.45,10.99,56.41
01/05/2024,30257,10920,7145,1776,3694,5119,1603,2.62,792,53.61,42459.12,2338.31,868.17,1962.63,5925.49,5005.6,1868.87,200.17,13000.13,39252.64,37290.01,3.27,7.17,8.48,22.72,410,382,856,10272,252083,6420,2.55,0.92,23.51,271442,4718,1.74,1.06,18.44,49226,1276,2.59,1.46,37.97,3896,34.85,4.98,54.29,26.97,18.74,42485.28,42439.04,42452.75,35.09,353.60,353.49,353.54,7.01,3.24,4.95,19.88,0.35,16.75,14.13,10.55,28.55
01/06/2024,30713,10692,7044,1521,3482,5694,2280,2.54,779,51.8,40352.2,2002.8,649.45,1885,4861.32,3783.42,2179.6,1993.82,12818.16,37699.95,35814.95,3.15,8.3,10.67,18.51,422,357,869,10428,158360,5739,3.62,0.85,30.7,261233,3899,1.49,0.97,14.48,31498,864,2.74,2.52,69.2,4055,27.21,3.27,54.99,33.77,11.24,40351.95,40365.75,40336.30,349.64,314.98,315.03,314.90,34.95,2.95,4.47,20.71,1.54,15.43,12.01,17.41,100.83
01/07/2024,31458,10049,7390,1760,3697,5285,3277,2.58,811,55,44605,2046.64,795.66,2088.13,5722.12,4592.59,1677.98,1996.71,13989.4,41762.7,39674.57,3.19,7.8,9.71,26.58,462,349,885,10620,142809,4786,3.35,1.2,40.07,259152,3821,1.47,1.2,17.72,79080,927,1.17,1.81,21.22,3939,28.58,2.21,50.46,26.11,23.43,44632.73,44589.26,44614.14,350.18,351.46,351.32,351.40,35.00,3.50,4.75,26.60,1.07,16.28,13.08,10.50,57.04
01/08/2024,32452,10960,7191,1978,4095,5970,2258,2.47,803,55.5,44566.5,4310.25,1043.69,1960.63,5206.17,5042.57,1516.7,943.16,12708.6,39212.56,37251.93,3.51,8.56,8.84,29.38,474,329,873,10476,198861,7286,3.66,0.71,26.18,260625,3508,1.35,1.44,19.35,49421,1233,2.49,1.23,30.69,5032,28.82,1.74,48.71,29.64,21.66,44573.57,44559.59,44571.39,165.27,347.63,347.58,347.62,16.21,3.17,4.83,23.62,0.69,14.98,14.51,8.70,58.17
01/09/2024,32215,11739,7679,1997,3839,6258,703,2.49,803,52.56,42205.68,3717.09,767.28,1886.07,4660.52,3955.92,1871.42,1458.5,11946.36,37721.31,35835.24,3.53,9.06,10.67,22.55,378,425,863,10356,215497,8341,3.87,0.56,21.63,215568,3917,1.82,1.01,18.35,53013,1236,2.33,1.51,35.3,3868,34.39,3.65,36.8,29.15,34.05,42216.18,42214.91,42197.13,255.31,323.22,323.21,323.14,25.19,2.75,4.21,17.06,1.24,14.42,12.24,15.62,90.06
01/10/2024,29481,10371,7429,2008,3672,4873,1128,2.3,677,53.58,36273.66,1742.83,775.29,1687.78,5354.09,3814.76,2253.8,1111.65,12534.3,33755.54,32067.76,2.89,6.77,9.51,16.09,364,313,850,10200,148476,5690,3.83,0.94,36.06,350230,5072,1.45,0.75,10.89,71171,1361,1.91,1.66,31.67,3438,21.13,5.38,42.33,38.77,18.91,36259.46,36264.49,36290.61,195.43,283.06,283.08,283.14,19.42,2.73,3.81,14.09,1.73,18.92,13.48,11.60,100.86
01/11/2024,32038,11256,7896,1664,3958,5515,1749,2.55,816,54.18,44210.88,2482.97,705.07,2051.14,4731.87,4062.23,1586.88,2305.29,12686.27,41022.84,38971.7,3.48,9.34,10.88,27.86,430,386,847,10164,221586,6516,2.94,0.73,21.35,218929,5849,2.67,0.69,18.56,57574,789,1.37,2.01,27.56,4459,25.09,4.25,45.69,35.18,19.13,44197.70,44203.81,44217.90,404.45,355.94,355.96,356.03,40.44,3.16,4.51,20.84,2.04,11.70,11.41,14.68,99.62
01/12/2024,36642,14104,8986,2366,4406,6676,104,2.58,946,59.33,56126.18,2926.73,1193.48,2600.3,6835.76,6620.83,1998.47,2514.85,17969.91,52005.97,49405.67,3.12,8.21,8.48,28.08,507,439,856,10272,387946,10396,2.68,0.66,17.62,470463,5806,1.23,1.14,14.07,122388,1569,1.28,1.27,16.33,4253,16.95,3.54,47.81,41.26,10.94,56112.95,56134.91,56133.28,441.17,404.56,404.62,404.62,44.12,2.87,4.50,17.10,4.24,16.89,16.37,12.39,57.01
01/01/2025,32343,12721,7202,2167,3894,5767,592,2.53,819,55.36,45339.84,1863.71,985.95,2124.51,6309.58,4007.7,1887.31,1776.58,13981.17,42490.18,40365.67,3.24,7.19,11.31,24.02,446,373,841,10092,222402,6798,3.06,0.93,28.37,303367,3780,1.25,1.06,13.21,57011,1617,2.84,1.17,33.1,3789,28.08,4.72,47.97,40.41,11.63,45361.24,45327.96,45343.49,312.35,357.17,357.10,357.12,31.21,2.81,4.96,21.27,1.04,17.67,11.22,16.83,98.48
